Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_WHITE, se_WHITE, t_WHITE, est_HISP, se_HISP, t_HISP, est_BLWPOV, se_BLWPOV, t_BLWPOV, est_MEDINC, se_MEDINC, t_MEDINC, est_UPTOHIGH, se_UPTOHIGH, t_UPTOHIGH, est_INS, se_INS, t_INS, est_MEDICARE, se_MEDICARE, t_MEDICARE, est_MEDICAID, se_MEDICAID, t_MEDICAID, est_Male, se_Male, t_Male, est_POPDEN, se_POPDEN, t_POPDEN, y, yhat, residual, std_residual, localR2, influence, CooksD
    0, 13507, 1700606.684, 7314877.738,     40290.908074,     55148.279041,         0.730592,      2980.511731,     11133.190202,         0.267714,    -13480.163937,     10406.693323,        -1.295336,     -8276.559642,     16152.388560,        -0.512405,        17.563743,     11387.506732,         0.001542,     -1705.745939,     13440.211137,        -0.126914,    -21040.446185,     14316.069035,        -1.469708,     27059.948510,     40536.125953,         0.667551,     22702.806909,     18052.113715,         1.257626,     -5421.834496,     16434.874460,        -0.329898,     -4403.437017,      2712.358332,        -1.623472,      9812.304879,     10539.986883,      -727.682004,        -0.133828,         0.577833,         0.560185,         0.000025
    1, 8617, 2064196.921, 7351321.037,     27307.344967,     55177.242110,         0.494902,      7007.629853,      5809.009038,         1.206338,     -5882.127712,     11677.024863,        -0.503735,    -11894.362579,     14985.572464,        -0.793721,     -2142.306474,     11374.834903,        -0.188337,     29080.013968,     11389.890635,         2.553143,     -7299.988947,     14155.807274,        -0.515689,    -41805.696497,     25440.485875,        -1.643274,     -5147.220100,     15780.395069,        -0.326178,     -6940.048859,     18784.068488,        -0.369465,     -4280.092157,      2052.352817,        -2.085456,      5733.547627,      5565.072863,       168.474764,         0.031392,         0.547801,         0.571542,         0.000001
    2, 10331, 1727562.445, 7307300.221,    -59708.854750,     53665.646234,        -1.112609,      6063.430852,      9785.985674,         0.619603,     -7641.063899,      9202.823736,        -0.830296,      5609.836420,     14103.211053,         0.397770,     17366.251402,     11774.843815,         1.474860,     15310.030874,     10990.591684,         1.393012,     -8895.253305,     13777.185671,        -0.645651,     16170.916877,     39843.937282,         0.405856,     17524.923104,     17007.136131,         1.030445,    -14735.782134,     15162.643967,        -0.971848,     -2733.405935,      2520.040601,        -1.084667,     21110.093870,     14288.451857,      6821.642013,         1.477996,         0.586896,         0.683106,         0.005161
    3, 253, 1528832.873, 7592434.792,      7509.592858,     48979.610190,         0.153321,     35770.987076,     14719.413710,         2.430191,    -28416.766599,      9388.598283,        -3.026732,      8268.660067,     13602.086137,         0.607896,     -1127.778744,     10436.688854,        -0.108059,     -1617.830657,     11115.903600,        -0.145542,    -20565.437621,     13814.176320,        -1.488720,    -33880.879972,     32888.805158,        -1.030165,     29868.796707,     17676.745304,         1.689723,      7233.742405,     18322.896144,         0.394793,     -3093.615154,      1472.561638,        -2.100839,      4418.592931,      4007.342141,       411.250790,         0.088772,         0.423647,         0.680738,         0.000018
    4, 5450, 920223.498, 7541904.605,    187858.574196,     65009.809781,         2.889696,      -819.445965,      9591.494238,        -0.085435,    -11679.447001,      7572.335732,        -1.542384,    -11128.862283,     16335.805987,        -0.681256,    -27398.931111,     12986.878192,        -2.109740,     13022.242790,      9303.969304,         1.399644,    -11938.412130,     11830.975383,        -1.009081,     20150.596920,     34112.092961,         0.590717,    -16821.521767,     15429.602864,        -1.090211,    -21360.608936,     16304.226097,        -1.310127,     -8478.965173,      1446.711313,        -5.860855,     13495.103810,     24421.786370,    -10926.682560,        -1.628343,         0.588862,         0.330165,         0.001432
    5, 6211, 1826215.955, 7413596.93,     43756.598342,     56017.601253,         0.781122,      6602.147040,      7828.116253,         0.843389,    -18794.238951,      9612.577475,        -1.955172,    -17805.237802,     15328.687254,        -1.161563,     -6380.039139,     11103.995725,        -0.574571,     32976.134223,     11566.155584,         2.851089,     -2247.582227,     14533.915755,        -0.154644,    -10168.748863,     42601.155058,        -0.238697,     13402.067591,     15039.457999,         0.891127,    -12330.575939,     19615.264822,        -0.628621,     -3314.466488,      2113.406455,        -1.568305,     26899.018340,     24424.452476,      2474.565864,         0.377078,         0.651339,         0.359354,         0.000087
    6, 12078, 1992846.337, 7330366.887,    -58456.344114,     56540.931739,        -1.033877,      2465.924143,      6002.018618,         0.410849,     -3881.074840,      7176.579457,        -0.540797,       647.185165,     15991.340423,         0.040471,     13083.587227,     10990.528553,         1.190442,      9115.208091,     10987.362414,         0.829608,       543.378708,     14000.924539,         0.038810,      8799.916730,     30450.722077,         0.288989,      4653.695137,     17949.228075,         0.259270,     19215.013774,     18950.117977,         1.013979,     -4646.684772,      2352.480883,        -1.975227,     11695.797190,     11874.587106,      -178.789916,        -0.026232,         0.554375,         0.308957,         0.000000
    7, 5392, 1785328.691, 7622540.551,     30815.867081,     52983.296478,         0.581615,     -1252.393200,      5708.934564,        -0.219374,      -612.758413,      9273.241425,        -0.066078,     -8027.123189,     16738.721770,        -0.479554,     -4323.765625,     10930.149527,        -0.395582,     10991.048333,     11730.651551,         0.936951,      1742.768897,     14217.050460,         0.122583,       868.913868,     31777.934145,         0.027343,    -15629.526200,     18421.511676,        -0.848439,      1431.184612,     18719.851138,         0.076453,     -1657.818083,      2836.402404,        -0.584479,      7857.122159,      9982.062117,     -2124.939958,        -0.337682,         0.376443,         0.410939,         0.000087
    8, 4485, 1857242.235, 7319968.171,    -70567.002705,     58892.665593,        -1.198231,    -20970.039032,      7465.630209,        -2.808877,      7686.067064,      9852.193157,         0.780138,      4883.634526,     15921.641823,         0.306729,     22223.372219,     11069.271776,         2.007663,      1225.225921,     11322.914620,         0.108208,     -5290.639091,     14902.405007,        -0.355019,     34134.184482,     39957.554510,         0.854261,       359.783030,     17489.382160,         0.020572,      8948.404555,     15376.094058,         0.581969,     -4631.931312,      2304.149969,        -2.010256,      3041.761407,      8301.295506,     -5259.534099,        -0.769343,         0.517585,         0.304756,         0.000284
    9, 2614, 2089625.251, 7324039.31,    -12207.854800,     57881.406431,        -0.210912,      5333.625187,      6008.526345,         0.887676,      -127.555159,     10877.067091,        -0.011727,    -16894.638438,     15115.343219,        -1.117715,      5851.913910,     11833.594030,         0.494517,     26897.085763,     11965.657136,         2.247857,     -8300.033346,     14543.119577,        -0.570719,    -28882.506250,     26211.403961,        -1.101906,      2113.518737,     16520.687169,         0.127932,     -3590.686821,     19666.047792,        -0.182583,     -4271.538476,      2043.561634,        -2.090242,      4645.743900,      8414.803849,     -3769.059949,        -0.615371,         0.453356,         0.441947,         0.000329
