Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_WHITE, se_WHITE, t_WHITE, est_HISP, se_HISP, t_HISP, est_BLWPOV, se_BLWPOV, t_BLWPOV, est_MEDINC, se_MEDINC, t_MEDINC, est_UPTOHIGH, se_UPTOHIGH, t_UPTOHIGH, est_INS, se_INS, t_INS, est_MEDICARE, se_MEDICARE, t_MEDICARE, est_MEDICAID, se_MEDICAID, t_MEDICAID, est_Male, se_Male, t_Male, est_POPDEN, se_POPDEN, t_POPDEN, y, yhat, residual, std_residual, localR2, influence, CooksD
    0, 4077, 899911.6904, 7532756.786,    -13091.437814,     13736.731817,        -0.953024,      -661.680993,      2687.640009,        -0.246194,     -1227.871939,      3733.407577,        -0.328888,     -1001.956684,      3481.499108,        -0.287795,      2771.339966,      2647.690629,         1.046701,      1275.183871,      3171.710236,         0.402049,       362.029854,      3662.596834,         0.098845,     -2053.223849,      9230.913306,        -0.222429,      1255.335004,      4807.304224,         0.261131,       833.262377,      4815.287015,         0.173045,      1930.077722,      1271.359696,         1.518121,      5485.083371,      4989.482217,       495.601154,         0.446621,         0.780427,         0.610714,         0.000715
    1, 7886, 897016.484, 7529910.617,      9849.186335,     17467.655772,         0.563853,     -1981.422736,      3257.972649,        -0.608177,       336.986088,      4525.507662,         0.074464,      -127.842169,      4030.577320,        -0.031718,       276.699297,      3286.158427,         0.084201,     -3495.520002,      3375.977950,        -1.035410,      -121.698926,      3957.900182,        -0.030748,      3302.114055,      7810.075244,         0.422802,     -1276.201005,      4532.753376,        -0.281551,     -3787.028247,      4543.950562,        -0.833422,      -131.373676,      1140.386823,        -0.115201,      6647.393236,      6084.684258,       562.708978,         0.527106,         0.598412,         0.639707,         0.001127
    2, 14461, 1681783.261, 6899862.742,    -15121.948392,     13847.993236,        -1.091996,      4168.252475,      3607.851755,         1.155328,      4651.691698,      4373.439782,         1.063623,      -524.744066,      3342.920490,        -0.156972,      2164.752369,      2889.911768,         0.749072,      3256.769084,      3258.698288,         0.999408,       348.962016,      2819.673113,         0.123760,     -4725.713900,      8906.086867,        -0.530616,      1992.359571,      4039.093865,         0.493269,     -2277.109893,      4871.838258,        -0.467403,        65.127915,      1418.482518,         0.045914,      3873.208115,      5007.636431,     -1134.428316,        -0.782374,         0.786148,         0.335326,         0.000705
    3, 5450, 920223.498, 7541904.605,     32797.661048,     28265.580612,         1.160339,      5644.305406,      5783.073336,         0.976004,     -2023.689507,      5209.091566,        -0.388492,     -1469.008146,      6351.141157,        -0.231298,     -3034.302380,      5889.513474,        -0.515204,      9894.683773,      4804.999835,         2.059247,       652.533545,      4964.806454,         0.131432,    -14235.315034,     15301.081006,        -0.930347,     -8845.132894,      3944.997618,        -2.242114,     -5201.515695,      7117.582226,        -0.730798,     -5550.044536,       480.212969,       -11.557465,     13495.103810,     14124.914373,      -629.810563,        -0.662639,         0.983590,         0.714406,         0.002509
    4, 4061, 899882.9696, 7530283.728,     -2004.862220,     14658.427894,        -0.136772,     -1623.268143,      3253.437487,        -0.498939,      1042.398561,      4169.098714,         0.250030,      -215.976195,      3646.543096,        -0.059228,       887.907497,      2941.430045,         0.301863,      -248.159367,      3130.423951,        -0.079273,      -100.670378,      3597.555861,        -0.027983,      1429.339412,      8859.514076,         0.161334,     -1543.890192,      4499.746215,        -0.343106,       887.574604,      5178.069744,         0.171410,      1008.466733,      1239.231794,         0.813784,      4469.706310,      4696.914762,      -227.208452,        -0.184734,         0.712823,         0.521770,         0.000085
    5, 7901, 892972.1968, 7533048.221,       706.373706,     15522.738610,         0.045506,     -6029.368692,      3440.635101,        -1.752400,      6153.294585,      4327.676367,         1.421847,        41.573475,      3327.561760,         0.012494,       -20.492047,      3138.439122,        -0.006529,      -157.989923,      3244.942954,        -0.048688,      2470.850816,      3041.761602,         0.812309,     -5274.401107,      7815.027126,        -0.674905,      -150.923801,      3371.777292,        -0.044761,      5056.223473,      5004.974210,         1.010240,      -853.781310,      1146.326437,        -0.744798,      1617.942331,       931.046984,       686.895347,         0.478154,         0.779752,         0.347577,         0.000278
    6, 6295, 1750179.556, 6868280.676,     -1643.559161,     15944.976278,        -0.103077,     -1535.702161,      3749.240639,        -0.409604,      7707.864334,      6638.878379,         1.161019,      -526.541803,      3728.569059,        -0.141218,      -359.150273,      2990.273438,        -0.120106,      2670.536743,      2945.349560,         0.906696,      3994.846875,      4820.586242,         0.828706,      9631.542962,     11450.296893,         0.841161,     -1811.244237,      4834.229662,        -0.374671,     -2397.618768,      5237.461357,        -0.457783,      -974.820047,       912.456827,        -1.068346,      2091.722770,      2627.178285,      -535.455515,        -0.391211,         0.625191,         0.407745,         0.000241
    7, 5422, 903351.5799, 7535557.565,     36536.258340,     17737.044108,         2.059884,     -1224.177138,      3182.241227,        -0.384690,     -2319.356096,      3488.173190,        -0.664920,     -1280.460645,      4169.687331,        -0.307088,     -3532.822009,      2848.914330,        -1.240059,     -3090.347783,      3197.387563,        -0.966523,     -2839.207707,      3558.682800,        -0.797825,      8042.908585,     10565.219542,         0.761263,       192.618176,      4979.896491,         0.038679,     -3780.224125,      4746.362033,        -0.796447,     -2143.300331,      2610.933858,        -0.820894,      4915.134802,      4986.605252,       -71.470450,        -0.058098,         0.811488,         0.521583,         0.000008
    8, 11934, 1552221.033, 7040249.688,    -53323.071730,     23753.252146,        -2.244875,       488.810938,      6998.396909,         0.069846,     21874.727775,     12522.357623,         1.746854,      -821.783636,      3858.773911,        -0.212965,      8780.441884,      3663.136197,         2.396974,      2612.706144,      3226.619376,         0.809735,     -7275.005539,      3770.848059,        -1.929276,     -3800.190344,     13157.962006,        -0.288813,     13914.110079,      3899.923520,         3.567790,      2477.320651,      6110.416370,         0.405426,     -1343.381993,      1071.102320,        -1.254205,      6109.560723,      4601.608008,      1507.952715,         1.106038,         0.847042,         0.412350,         0.001961
    9, 5095, 890075.0439, 7535597.289,     -2204.315037,     15586.051086,        -0.141429,     -1194.432600,      3525.999395,        -0.338750,      1001.345899,      4718.885191,         0.212200,       658.153047,      3275.126232,         0.200955,        48.457270,      2980.070762,         0.016260,      -197.200403,      2895.624065,        -0.068103,       333.710093,      3218.034462,         0.103700,      -733.213374,      7646.390979,        -0.095890,      -858.734906,      4365.843469,        -0.196694,      1783.585370,      4592.665398,         0.388355,       827.101014,      1358.024984,         0.609047,      1702.287341,      1497.809655,       204.477686,         0.167352,         0.537719,         0.528033,         0.000072
   10, 10433, 1729071.066, 6903412.831,    -17989.306828,     17689.181068,        -1.016967,     14700.582797,      4700.427441,         3.127499,      2564.521463,      2269.451931,         1.130018,       148.345515,      4209.572149,         0.035240,      3746.704875,      3243.934016,         1.154988,      1274.070634,      2816.114723,         0.452421,      1355.732068,      3264.754805,         0.415263,      2817.538031,      7218.380094,         0.390328,      3709.353954,      3225.381765,         1.150051,     -4878.849068,      5049.003734,        -0.966299,     -3644.397584,       577.183756,        -6.314103,      6586.355183,      5658.990023,       927.365160,         0.639591,         0.702297,         0.335371,         0.000472
   11, 7903, 898289.6866, 7533166.166,     -7951.073832,     16590.807766,        -0.479246,      -287.243772,      3348.579380,        -0.085781,     -1330.304034,      3370.271915,        -0.394717,      2040.642484,      3972.689563,         0.513668,      2469.148985,      3247.913480,         0.760226,     -1195.250005,      3143.161348,        -0.380270,       877.559865,      4376.839120,         0.200501,      1708.363775,      7586.295369,         0.225191,      1480.113202,      4791.272686,         0.308919,     -1212.573304,      4672.342625,        -0.259521,      1090.073191,      1049.463307,         1.038696,      6265.829777,      5865.067849,       400.761928,         0.307356,         0.639368,         0.462506,         0.000186
