Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_WHITE, se_WHITE, t_WHITE, est_HISP, se_HISP, t_HISP, est_BLWPOV, se_BLWPOV, t_BLWPOV, est_MEDINC, se_MEDINC, t_MEDINC, est_UPTOHIGH, se_UPTOHIGH, t_UPTOHIGH, est_INS, se_INS, t_INS, est_MEDICARE, se_MEDICARE, t_MEDICARE, est_MEDICAID, se_MEDICAID, t_MEDICAID, est_Male, se_Male, t_Male, est_POPDEN, se_POPDEN, t_POPDEN, y, yhat, residual, std_residual, localR2, influence, CooksD
    0, 6727, 1517563.872, 7173987.775,    153145.916221,    109718.862420,         1.395803,      1649.251704,     32619.285733,         0.050561,     -4605.867021,     13987.829738,        -0.329277,     -9452.450817,     26186.996672,        -0.360960,    -28352.560798,     21142.383212,        -1.341030,      1481.423551,     19081.086649,         0.077638,     16201.178063,     26360.666636,         0.614597,    -23934.459785,     63818.806085,        -0.375038,     -6152.018431,     24977.465480,        -0.246303,     -4859.736589,     30561.687043,        -0.159014,     -7211.918009,      1986.275735,        -3.630875,     18715.446310,     16615.573908,      2099.872402,         0.161568,         0.618639,         0.445127,         0.000456
    1, 9222, 1452507.204, 7175971.348,    109261.546196,     93470.977453,         1.168936,     10672.091093,     30391.943847,         0.351149,    -10761.212675,     12762.565417,        -0.843186,     -6347.307674,     24074.037349,        -0.263658,    -19558.714260,     18528.248147,        -1.055616,      4148.562029,     17480.097280,         0.237331,      9936.722174,     24124.245143,         0.411898,     14403.611836,     54740.600028,         0.263125,      -844.583882,     22882.335561,        -0.036910,     -3136.100247,     28341.301318,        -0.110655,     -7676.335269,      1935.196454,        -3.966696,      3334.722589,     13230.495878,     -9895.773289,        -0.641960,         0.668730,         0.219446,         0.002521
    2, 10445, 1720495.389, 6931677.448,     -1082.938574,     89648.462445,        -0.012080,     20369.685618,     36792.009141,         0.553644,    -22838.510619,     26671.233838,        -0.856297,     -3370.387822,     21106.815886,        -0.159682,      5111.965537,     17618.019713,         0.290156,     -3459.772384,     15453.170314,        -0.223888,     24395.520059,     19436.327280,         1.255151,     32590.563760,     56720.362908,         0.574583,     -3534.030750,     21399.982965,        -0.165142,     19723.983637,     28040.334828,         0.703415,     -6476.367784,      1825.564798,        -3.547597,     35709.683460,     25873.498215,      9836.185245,         0.637112,         0.357593,         0.217035,         0.002448
    3, 708, 1113772.268, 7361042.605,    408684.108533,    113546.000759,         3.599282,    -32943.780836,     36898.225676,        -0.892828,    -28005.206708,     19019.111702,        -1.472477,    -80927.470500,     32540.338811,        -2.486989,    -53204.111749,     22943.794462,        -2.318889,     28259.720834,     22727.770942,         1.243400,    -51290.111977,     26092.925970,        -1.965671,     16124.152564,     52381.600377,         0.307821,     76156.680988,     41484.935249,         1.835767,    -76895.975581,     30931.831398,        -2.485982,    -12524.021885,      2041.341632,        -6.135192,     34992.130600,     20485.364052,     14506.766548,         1.062079,         0.611007,         0.387159,         0.015503
    4, 13997, 1519248.778, 7234625.726,     79406.691695,     98473.495797,         0.806376,     29643.288939,     30080.422966,         0.985468,    -26580.428424,     12393.557069,        -2.144697,      8728.021409,     24914.722490,         0.350316,    -17232.894357,     19385.309172,        -0.888967,     19381.941922,     17719.849138,         1.093798,      9641.758316,     24508.496140,         0.393405,     23915.828649,     56846.287323,         0.420710,     -7206.275750,     23536.511699,        -0.306174,     -2196.407242,     28888.977292,        -0.076029,     -6240.309940,      1964.673959,        -3.176257,      3817.141691,      6171.808595,     -2354.666904,        -0.147418,         0.679319,         0.161936,         0.000091
    5, 13092, 1572442.749, 6975375.917,    -17836.658604,     93110.998051,        -0.191563,     44448.113650,     38046.269245,         1.168265,    -58444.139647,     28864.133946,        -2.024801,      6077.550206,     22168.226316,         0.274156,     11817.190918,     18427.862251,         0.641268,       286.788966,     16379.844608,         0.017509,     20484.219178,     20064.985830,         1.020894,     41519.216515,     60090.340026,         0.690947,    -13903.382813,     22573.464830,        -0.615917,     16346.928970,     29727.416003,         0.549894,     -6693.416471,      1920.990554,        -3.484357,     70164.358310,     30944.126378,     39220.231932,         2.419911,         0.342706,         0.137138,         0.020248
    6, 13986, 1537536.672, 7204124.826,    132909.238015,    115802.293895,         1.147725,     13719.901753,     33352.540939,         0.411360,    -16647.387174,     13387.097438,        -1.243540,      3051.338125,     27428.880613,         0.111245,    -25655.927744,     22118.420761,        -1.159935,      7665.905038,     19545.180945,         0.392215,     10664.317290,     26922.032394,         0.396119,     -7076.384027,     65349.507771,        -0.108285,     -6779.069829,     25890.862540,        -0.261833,     -1621.202175,     31329.277940,        -0.051747,     -6358.597837,      2056.744851,        -3.091583,     32278.487940,     29603.985207,      2674.502733,         0.174587,         0.622836,         0.229124,         0.000197
    7, 6728, 1516708.549, 7174737.595,    151577.385213,    109246.536590,         1.387480,      1977.785750,     32551.325982,         0.060759,     -4895.193781,     13936.861227,        -0.351241,     -9181.703354,     26113.836793,        -0.351603,    -28056.951993,     21061.369121,        -1.332152,      1530.601692,     19031.088129,         0.080426,     15890.251343,     26301.341479,         0.604161,    -22849.797715,     63531.717630,        -0.359660,     -5926.424991,     24909.275356,        -0.237920,     -4603.147546,     30502.665118,        -0.150910,     -7189.738849,      1984.674437,        -3.622629,     19289.771970,      6404.492183,     12885.279787,         0.807803,         0.618914,         0.164210,         0.002789
    8, 9134, 1412383.332, 7249271.158,     75994.932923,    101814.550953,         0.746405,     16248.568434,     32592.857620,         0.498532,    -17195.424814,     12892.371822,        -1.333767,     -1794.505251,     26270.415805,        -0.068309,    -14043.216782,     19697.088726,        -0.712959,     19232.631151,     19514.694499,         0.985546,     19075.174932,     26233.496055,         0.727130,     44870.124922,     55387.088375,         0.810119,    -10759.096866,     26237.842628,        -0.410060,    -10444.297280,     31035.992310,        -0.336522,     -9032.324311,      2083.872005,        -4.334395,      1904.431778,      7365.140174,     -5460.708396,        -0.338861,         0.717918,         0.146947,         0.000430
    9, 13996, 1522080.122, 7234244.176,     81422.131639,    100043.752734,         0.813865,     29700.270758,     30423.593277,         0.976225,    -26736.065564,     12466.363841,        -2.144656,      9240.619524,     25267.016356,         0.365719,    -17694.049082,     19646.169146,        -0.900636,     19376.354064,     17899.965071,         1.082480,      9629.314321,     24740.908291,         0.389206,     22456.102506,     57587.627496,         0.389947,     -7601.378710,     23758.660288,        -0.319941,     -2104.632791,     29172.734890,        -0.072144,     -6172.931322,      1977.105196,        -3.122207,      1600.693148,      5856.955736,     -4256.262588,        -0.272108,         0.676681,         0.196299,         0.000393
   10, 13082, 1602209.865, 6924500.824,      5399.441601,     92409.810914,         0.058429,     32314.220762,     38527.451031,         0.838732,    -56376.073874,     29347.564405,        -1.920980,      -176.701958,     21864.418036,        -0.008082,      8071.951652,     18159.111858,         0.444512,       530.692599,     15929.727614,         0.033315,     23266.624946,     19754.266661,         1.177803,     26590.319043,     58320.635147,         0.455933,     -7053.399588,     22229.838852,        -0.317294,     16946.768490,     28896.526758,         0.586464,     -6393.127804,      1871.176879,        -3.416635,     13118.848140,     18762.674468,     -5643.826328,        -0.351369,         0.343982,         0.152498,         0.000483
   11, 13057, 1621771.779, 6915540.37,      5896.268101,     91715.130126,         0.064289,     29063.541240,     38197.538249,         0.760875,    -50262.574581,     28913.900345,        -1.738353,     -1156.430909,     21703.583188,        -0.053283,      7294.847986,     18023.163148,         0.404748,      -182.853237,     15793.995884,        -0.011577,     23723.341962,     19668.627735,         1.206151,     26094.055718,     57830.675931,         0.451215,     -5877.992934,     22043.675662,        -0.266652,     17595.468293,     28663.036756,         0.613873,     -6363.477988,      1857.253032,        -3.426285,      8400.055715,     13281.542706,     -4881.486991,        -0.308089,         0.345849,         0.175346,         0.000439
   12, 9225, 1450740.218, 7176315.712,    108564.923729,     93401.612487,         1.162345,     11017.284113,     30374.079201,         0.362720,    -10943.554823,     12733.194228,        -0.859451,     -6247.685780,     24065.615004,        -0.259610,    -19451.869152,     18514.014608,        -1.050656,      4307.737966,     17478.560103,         0.246458,      9969.188050,     24085.916191,         0.413901,     15071.558891,     54656.751573,         0.275749,      -927.272248,     22870.714254,        -0.040544,     -3231.657862,     28336.566100,        -0.114046,     -7699.483917,      1932.543929,        -3.984118,      5010.166630,      8982.836032,     -3972.669402,        -0.236249,         0.670505,         0.071153,         0.000093
   13, 704, 1076522.157, 7280190.226,    451996.687439,    118164.357463,         3.825153,    -23452.240691,     39315.362112,        -0.596516,    -40352.114804,     20099.022290,        -2.007666,    -91076.672429,     33608.632836,        -2.709919,    -61911.175312,     23988.798163,        -2.580837,     45672.995702,     23874.330882,         1.913059,    -67685.740687,     26997.417116,        -2.507119,     16794.331305,     54478.208747,         0.308276,     88326.874028,     42680.115126,         2.069509,    -73987.658288,     31951.544698,        -2.315621,    -12267.129466,      2102.329750,        -5.835017,    113569.292700,     50242.072864,     63327.219836,         4.296757,         0.606916,         0.286458,         0.161246
   14, 13701, 1441615.871, 7381144.908,    -76345.522907,    125694.758166,        -0.607388,     -7771.112832,     36858.226042,        -0.210838,    -24225.562818,     14797.827568,        -1.637103,     30386.332674,     29581.143910,         1.027220,     18648.289611,     23199.418254,         0.803826,     41051.264254,     24311.508787,         1.688553,     35667.734200,     34504.219223,         1.033721,    151475.494443,     63434.909388,         2.387889,    -34082.055878,     32681.891354,        -1.042842,    -16937.810288,     42259.725805,        -0.400803,     -7347.992284,      2671.420401,        -2.750594,      2949.801348,     20780.791772,    -17830.990424,        -1.299170,         0.597227,         0.381216,         0.022622
   15, 13073, 1598605.886, 6922146.282,      6345.205668,     92785.376341,         0.068386,     33016.362754,     38729.816499,         0.852479,    -58661.286173,     29629.448262,        -1.979831,       -67.261985,     21944.847872,        -0.003065,      8178.645721,     18223.080705,         0.448807,       772.893482,     15988.608428,         0.048340,     23170.589795,     19791.641901,         1.170726,     26254.677832,     58565.100396,         0.448299,     -7101.352234,     22318.920344,        -0.318176,     16768.990973,     29028.266245,         0.577678,     -6376.447944,      1877.513349,        -3.396220,     15802.665160,     14523.244258,      1279.420902,         0.077241,         0.343008,         0.098743,         0.000014
   16, 9150, 1411189.02, 7253028.434,     73073.923887,    101607.147782,         0.719181,     13557.311273,     32241.208552,         0.420496,    -17647.149951,     12821.435377,        -1.376379,     -1050.442342,     26132.296223,        -0.040197,    -12956.559503,     19541.620649,        -0.663024,     20826.630489,     19409.890519,         1.072991,     20332.319356,     26213.281020,         0.775650,     47703.440295,     55060.680339,         0.866379,    -11645.742054,     26212.049233,        -0.444290,    -12020.768088,     30924.111484,        -0.388718,     -9125.924475,      2074.135350,        -4.399869,      3182.280128,      6205.086845,     -3022.806717,        -0.212905,         0.717534,         0.337830,         0.000503
   17, 10444, 1721849.105, 6931458.909,     -1093.414686,     89649.520673,        -0.012197,     20310.727226,     36787.485587,         0.552110,    -22662.116016,     26660.866582,        -0.850014,     -3389.312810,     21105.202521,        -0.160591,      5090.158845,     17617.889310,         0.288920,     -3484.035667,     15453.609926,        -0.225451,     24394.003302,     19436.916957,         1.255035,     32648.036502,     56723.795498,         0.575562,     -3503.845389,     21399.245296,        -0.163737,     19739.317543,     28041.874777,         0.703923,     -6475.715530,      1825.690107,        -3.546996,     35042.029280,     23128.193812,     11913.835468,         0.723133,         0.357662,         0.108365,         0.001383
   18, 14008, 1046409.542, 7451427.12,    409577.567378,    115994.125940,         3.531020,    -41355.582439,     37708.834786,        -1.096708,    -27091.482284,     19272.863401,        -1.405680,    -85845.444947,     33558.572087,        -2.558078,    -51719.468093,     23469.685295,        -2.203671,     25416.830123,     23148.703525,         1.097981,    -49335.124021,     26510.142195,        -1.860991,     13367.430672,     52944.577291,         0.252480,     81448.957954,     42839.116343,         1.901275,    -80248.758932,     31368.539866,        -2.558256,    -12212.582157,      2068.837094,        -5.903114,      8737.613820,     38776.322670,    -30038.708850,        -1.911458,         0.591803,         0.188753,         0.018494
   19, 9707, 1223780.909, 7423709.015,    286814.720129,    105975.952213,         2.706413,    -42798.039267,     33970.081400,        -1.259874,     -9727.563289,     17242.923675,        -0.564148,    -49720.016245,     30306.415419,        -1.640577,    -31491.690303,     21365.861346,        -1.473926,      4752.214951,     21017.560762,         0.226107,    -20783.153191,     25346.876257,        -0.819949,     35329.048937,     49732.738669,         0.710378,     43520.659777,     37707.190486,         1.154174,    -70947.849185,     29352.566237,        -2.417092,    -12896.110392,      1936.840541,        -6.658323,      1618.855669,      7200.671615,     -5581.815946,        -0.357714,         0.625630,         0.200169,         0.000697
   20, 10441, 1732716.392, 6917370.63,       616.008086,     90032.611376,         0.006842,     20142.269310,     37011.773799,         0.544212,    -24512.417739,     26999.483084,        -0.907885,     -3524.763105,     21193.076785,        -0.166317,      5040.452867,     17692.383127,         0.284894,     -3380.293772,     15514.321660,        -0.217882,     24391.843534,     19495.905562,         1.251126,     31969.692508,     56989.904826,         0.560971,     -3013.317709,     21513.696676,        -0.140065,     19879.270798,     28209.740797,         0.704695,     -6409.577262,      1834.042516,        -3.494781,     19053.812240,     37106.733312,    -18052.921072,        -1.182040,         0.356219,         0.233785,         0.009275
   21, 714, 1149847.099, 7367345.998,    380675.100110,    110441.043643,         3.446863,    -33219.779535,     35699.144068,        -0.930548,    -23264.159991,     18468.898467,        -1.259640,    -71945.151005,     31584.473363,        -2.277865,    -48665.318663,     22294.493240,        -2.182840,     22142.784075,     22069.081673,         1.003340,    -44066.815175,     25676.547642,        -1.716228,     20096.806572,     51431.229539,         0.390751,     67062.578547,     40098.875218,         1.672430,    -74785.434471,     30306.859839,        -2.467607,    -12741.126975,      2005.113142,        -6.354318,      2191.836702,     12355.098615,    -10163.261913,        -0.653240,         0.619903,         0.204864,         0.002392
   22, 13072, 1602540.867, 6921807.39,      6094.873938,     92519.922011,         0.065876,     32223.386535,     38598.408865,         0.834837,    -56872.397383,     29451.679608,        -1.931041,      -267.459935,     21887.083313,        -0.012220,      8020.202767,     18175.105915,         0.441274,       578.642128,     15942.001005,         0.036297,     23288.581085,     19762.484133,         1.178424,     26236.132032,     58380.527583,         0.449399,     -6904.248473,     22253.122030,        -0.310260,     16931.508040,     28933.042928,         0.585196,     -6378.552705,      1872.546088,        -3.406353,     11891.785560,     20010.704616,     -8118.919056,        -0.483839,         0.343658,         0.075056,         0.000413
   23, 13078, 1599511.507, 6922684.346,      6121.540221,     92692.038361,         0.066042,     32836.412805,     38680.112127,         0.848922,    -58098.936830,     29560.439320,        -1.965429,       -96.542832,     21924.963970,        -0.004403,      8151.379538,     18207.209186,         0.447701,       713.175946,     15973.935884,         0.044646,     23195.673598,     19782.414654,         1.172540,     26329.673930,     58504.164977,         0.450048,     -7086.173394,     22296.928381,        -0.317809,     16813.989034,     28995.506846,         0.579883,     -6380.296188,      1875.936178,        -3.401126,     15044.059850,     19716.413725,     -4672.353875,        -0.281156,         0.343246,         0.092816,         0.000176
   24, 9127, 1414186.004, 7248334.136,     76406.430461,    102003.456888,         0.749057,     17954.209165,     32828.339559,         0.546912,    -17197.897973,     12923.988322,        -1.330696,     -1961.036175,     26355.373294,        -0.074407,    -14479.554366,     19796.996410,        -0.731402,     18719.292221,     19572.276623,         0.956419,     18488.942411,     26277.213459,         0.703611,     43961.681357,     55559.670679,         0.791252,    -10340.785789,     26256.241894,        -0.393841,     -9479.565509,     31106.950588,        -0.304741,     -8957.738683,      2092.614351,        -4.280645,      2587.428053,      1074.421461,      1513.006592,         0.095990,         0.717912,         0.183885,         0.000045
   25, 6717, 1534209.412, 7142222.443,    187554.851294,    117795.973438,         1.592201,    -11002.581165,     34417.405760,        -0.319681,     12458.179331,     16353.649898,         0.761798,    -22169.963917,     27536.135203,        -0.805123,    -34751.039224,     22443.134863,        -1.548404,       630.622015,     20129.258791,         0.031329,     29788.911193,     27682.429455,         1.076095,    -56749.846473,     70961.057198,        -0.799732,    -14206.836402,     26505.554818,        -0.535995,    -18066.363749,     31494.090123,        -0.573643,     -8775.505560,      2040.247861,        -4.301196,     24677.510500,     34507.527847,     -9830.017347,        -0.629498,         0.654968,         0.198986,         0.002142
   26, 9703, 1224203.352, 7422067.697,    286784.870153,    105897.670139,         2.708132,    -42681.538075,     33961.129982,        -1.256776,     -9650.652777,     17241.156873,        -0.559745,    -49594.586111,     30288.865751,        -1.637387,    -31514.189054,     21351.029002,        -1.476003,      4700.239264,     21006.669073,         0.223750,    -20753.143102,     25336.008937,        -0.819117,     35464.684849,     49718.941145,         0.713303,     43299.078083,     37671.501851,         1.149386,    -70914.986797,     29349.375853,        -2.416235,    -12910.011723,      1936.341724,        -6.667218,      1249.038143,       -25.476154,      1274.514297,         0.079789,         0.626369,         0.161857,         0.000027
   27, 13080, 1597686.1, 6922928.31,      6209.555417,     92816.185340,         0.066902,     33220.213604,     38740.438272,         0.857507,    -58927.418266,     29641.557551,        -1.988000,         3.114732,     21951.920096,         0.000142,      8228.359859,     18229.782556,         0.451369,       802.577407,     15996.091402,         0.050173,     23137.237771,     19796.201925,         1.168772,     26361.961440,     58591.978326,         0.449924,     -7184.974773,     22327.782706,        -0.321795,     16738.305329,     29040.766443,         0.576373,     -6379.779250,      1878.302824,        -3.396566,     16873.533560,     22001.668384,     -5128.134824,        -0.308060,         0.342950,         0.089733,         0.000204
   28, 13990, 1521295.001, 7230473.787,     84870.450374,     99124.532885,         0.856200,     27490.861455,     30136.423669,         0.912214,    -25538.373446,     12383.212587,        -2.062338,      8033.461076,     24918.341524,         0.322391,    -17887.069424,     19471.300444,        -0.918638,     17655.939799,     17749.112707,         0.994751,      9224.999466,     24551.433163,         0.375742,     21684.312504,     57093.270836,         0.379805,     -6500.456499,     23508.744866,        -0.276512,     -2010.939743,     28900.752236,        -0.069581,     -6257.385305,      1952.903777,        -3.204144,      2570.286213,     11188.083292,     -8617.797079,        -0.525319,         0.674317,         0.115973,         0.000788
   29, 6723, 1513022.47, 7157396.823,    166292.150303,    110873.643347,         1.499835,     -3771.812289,     33204.861398,        -0.113592,      1124.028125,     14771.446252,         0.076095,    -14784.903649,     26626.288692,        -0.555275,    -30584.122493,     21410.971147,        -1.428432,       106.305340,     19302.362812,         0.005507,     20134.355223,     26749.169955,         0.752710,    -34676.700825,     65483.222887,        -0.529551,     -7815.956623,     25232.559053,        -0.309757,     -7918.219483,     30839.489213,        -0.256756,     -7671.875313,      1997.277722,        -3.841166,      1766.116850,      7948.738345,     -6182.621495,        -0.399452,         0.624855,         0.213070,         0.000940
