Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_WHITE, se_WHITE, t_WHITE, est_HISP, se_HISP, t_HISP, est_BLWPOV, se_BLWPOV, t_BLWPOV, est_MEDINC, se_MEDINC, t_MEDINC, est_UPTOHIGH, se_UPTOHIGH, t_UPTOHIGH, est_INS, se_INS, t_INS, est_MEDICARE, se_MEDICARE, t_MEDICARE, est_MEDICAID, se_MEDICAID, t_MEDICAID, est_Male, se_Male, t_Male, est_POPDEN, se_POPDEN, t_POPDEN, y, yhat, residual, std_residual, localR2, influence, CooksD
    0, 11436, 2072514.877, 7440101.874,    -21616.386552,     56777.189981,        -0.380723,     22868.145852,      7422.543761,         3.080904,     -3395.431511,     11044.906748,        -0.307421,     -6559.356172,     13836.408493,        -0.474065,      9302.499039,     11726.778094,         0.793270,      7688.704984,     10740.233004,         0.715879,    -11551.475375,     11855.264674,        -0.974375,     18224.836634,     27963.115059,         0.651746,     17681.352659,     12773.682108,         1.384202,    -27165.590436,     16168.932048,        -1.680110,     -4746.734772,      2253.274665,        -2.106594,      4001.815435,      1227.461785,      2774.353650,         0.489839,         0.567625,         0.591133,         0.001064
    1, 11825, 1710945.329, 7046122.806,     37075.492233,     37886.003836,         0.978607,     20209.462682,      6315.966334,         3.199742,    -16012.831018,      4635.299427,        -3.454541,     -3639.730303,      9977.617763,        -0.364790,     -4377.623287,      7518.252436,        -0.582266,      8577.601775,      7978.757347,         1.075055,    -22199.677104,     10564.373524,        -2.101372,     45690.232617,     25723.837348,         1.776183,      3395.753168,     12171.163124,         0.279000,     22165.591539,     10255.263108,         2.161387,     -5640.241438,       989.662434,        -5.699157,      2877.229808,      6585.310263,     -3708.080455,        -0.470097,         0.551985,         0.206971,         0.000177
    2, 12281, 2026476.101, 7615544.64,     18519.087461,     45752.025899,         0.404771,      8031.494936,      5133.251923,         1.564602,    -20712.139811,      9411.650853,        -2.200691,     13421.885110,     13344.062051,         1.005832,     -1255.045517,      9059.090959,        -0.138540,      7990.403571,      9748.678935,         0.819640,     -1778.232908,      9926.365823,        -0.179142,     34241.137708,     25721.635068,         1.331219,     -2807.732571,     14625.722077,        -0.191972,      3244.883659,     14538.605021,         0.223191,     -6703.100141,      1507.580842,        -4.446262,      1373.891322,     -1725.545845,      3099.437167,         0.421341,         0.646522,         0.310295,         0.000245
    3, 4270, 1719443.605, 7145493.911,      -134.441736,     38786.209284,        -0.003466,     16178.128954,      5758.863567,         2.809257,    -16258.132688,      4588.503957,        -3.543232,      5500.790393,     10511.721677,         0.523301,      1967.264107,      7607.595360,         0.258592,     16429.759858,      8443.499217,         1.945847,     -9833.661508,     11157.304635,        -0.881365,     39374.944565,     27528.166847,         1.430351,      2374.873391,     13130.500115,         0.180867,     12940.934192,     10250.625247,         1.262453,     -5318.333876,      1061.493990,        -5.010235,      2715.880297,      3613.208240,      -897.327943,        -0.116446,         0.549881,         0.243132,         0.000013
    4, 12127, 2042913.601, 7681320.018,    -15546.940997,     47019.142181,        -0.330651,      9424.252098,      5185.556461,         1.817404,    -28995.093326,      6253.275058,        -4.636785,     19405.186866,     12647.372593,         1.534326,      8450.319489,      9182.129351,         0.920301,     10596.054579,      9829.972932,         1.077933,     -8501.582340,      9615.118185,        -0.884189,     11339.548047,     25048.224780,         0.452709,      2172.687921,     13367.807377,         0.162531,    -15900.450330,     14955.753408,        -1.063166,     -3906.750875,      1509.529620,        -2.588058,     21847.369940,     14056.440720,      7790.929220,         1.018910,         0.544517,         0.254801,         0.001089
    5, 11432, 2073091.133, 7437604.461,    -27087.550221,     56442.706278,        -0.479912,     23231.320869,      7447.959681,         3.119152,     -4699.307994,     11028.305350,        -0.426113,     -6551.555032,     13790.451931,        -0.475079,     10407.941782,     11646.450722,         0.893658,      8818.150325,     10787.175372,         0.817466,    -12046.641222,     11771.742884,        -1.023352,     18826.164207,     28045.418453,         0.671274,     18541.227821,     12745.328492,         1.454747,    -27730.300767,     16196.985431,        -1.712066,     -4531.250209,      2251.436199,        -2.012604,      2236.409008,      -760.074171,      2996.483179,         0.461332,         0.567352,         0.462272,         0.000561
    6, 13730, 1667939.132, 7568103.699,    -11924.984869,     53106.462920,        -0.224549,     32934.130777,     14817.661285,         2.222627,     13162.100159,      9448.632712,         1.393016,      1587.622589,     12527.799437,         0.126728,       331.502070,      9803.345401,         0.033815,      3797.700446,     10379.656590,         0.365879,       545.282516,     11754.411885,         0.046390,     -7224.487592,     24874.084691,        -0.290442,      8512.585154,     12800.585638,         0.665015,     -2918.758644,     17627.747381,        -0.165578,     -6657.987204,      1098.815902,        -6.059238,      1018.128372,      -246.027376,      1264.155748,         0.191946,         0.611883,         0.447146,         0.000091
    7, 15185, 1479476.005, 7812163.627,    118008.206874,     54635.564281,         2.159916,     22605.629962,     12425.243449,         1.819331,    -31047.720202,      6349.484763,        -4.889802,    -43660.427282,     14259.630188,        -3.061820,     -7730.853927,     11385.894126,        -0.678985,      8340.347543,     10975.809113,         0.759885,    -86287.731214,     11379.465357,        -7.582758,    -11775.122169,     35855.698106,        -0.328403,     32200.836049,     16224.153837,         1.984747,       178.301947,     14271.783125,         0.012493,     -3411.504848,       870.169270,        -3.920507,      1024.925324,     15350.676912,    -14325.751588,        -1.997694,         0.546008,         0.344546,         0.006435
    8, 12278, 2030036.896, 7614686.258,     17851.475758,     45355.183783,         0.393593,      8340.293726,      5104.216437,         1.634001,    -20412.560389,      9341.288622,        -2.185197,     13743.758883,     13263.532349,         1.036207,     -1042.995550,      8969.689814,        -0.116280,      8433.253671,      9646.385968,         0.874240,     -2243.895472,      9845.414041,        -0.227913,     35272.615255,     25646.802107,         1.375322,     -2910.863521,     14555.417493,        -0.199985,      2527.291787,     14369.426243,         0.175880,     -6732.705292,      1495.924211,        -4.500699,      2301.022867,      8107.408236,     -5806.385369,        -0.765805,         0.647453,         0.267275,         0.000656
    9, 4264, 1721879.458, 7143391.522,       247.457463,     38972.368114,         0.006350,     16328.737351,      5866.626126,         2.783327,    -16622.288349,      4656.033820,        -3.570053,      5396.112366,     10580.073939,         0.510026,      1809.247715,      7636.598724,         0.236918,     16505.239787,      8501.595673,         1.941428,     -9484.982542,     11336.082652,        -0.836707,     38945.484358,     27749.610134,         1.403461,      2265.888738,     13182.342613,         0.171888,     13038.683846,     10318.240532,         1.263654,     -5277.009746,      1071.586734,        -4.924482,      1975.092184,     -1835.662172,      3810.754356,         0.488557,         0.552583,         0.224544,         0.000212
