Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_WHITE, se_WHITE, t_WHITE, est_HISP, se_HISP, t_HISP, est_BLWPOV, se_BLWPOV, t_BLWPOV, est_MEDINC, se_MEDINC, t_MEDINC, est_UPTOHIGH, se_UPTOHIGH, t_UPTOHIGH, est_INS, se_INS, t_INS, est_MEDICARE, se_MEDICARE, t_MEDICARE, est_MEDICAID, se_MEDICAID, t_MEDICAID, est_Male, se_Male, t_Male, est_POPDEN, se_POPDEN, t_POPDEN, y, yhat, residual, std_residual, localR2, influence, CooksD
    0, 6727, 1517563.872, 7173987.775,    174144.509308,     65959.633050,         2.640168,     -4406.444795,     19244.238537,        -0.228975,      4023.907206,      8886.458113,         0.452813,    -14851.202028,     15172.831690,        -0.978802,    -32765.925807,     12553.920926,        -2.610015,     -4310.138781,     11040.233195,        -0.390403,     20379.995564,     15369.300418,         1.326020,    -50309.784022,     38725.507000,        -1.299138,     -7447.310360,     14900.037930,        -0.499818,     -4724.379322,     17930.844468,        -0.263478,     -7084.801390,      1185.702849,        -5.975191,     18715.446310,     18260.112966,       455.333344,         0.068324,         0.663142,         0.492275,         0.000007
    1, 11436, 2072514.877, 7440101.874,      6935.715566,     72724.931246,         0.095369,     26602.243314,      9986.291240,         2.663876,     -2498.138623,     23570.117845,        -0.105988,    -11626.968540,     16952.836368,        -0.685842,      3060.811958,     15290.139822,         0.200182,      2624.854678,     14928.833857,         0.175824,     -8490.319780,     14646.570119,        -0.579680,     21700.040685,     34230.674792,         0.633936,     17894.935197,     15638.357252,         1.144298,    -32735.829465,     22180.785999,        -1.475864,     -4333.951481,      3188.078823,        -1.359424,      4001.815435,      1992.087813,      2009.727622,         0.396007,         0.703642,         0.705570,         0.000617
    2, 9222, 1452507.204, 7175971.348,    130337.212962,     70274.346992,         1.854691,     -6977.762427,     21014.790106,        -0.332041,     -3079.191989,     12046.316001,        -0.255613,    -11148.328862,     18322.870525,        -0.608438,    -19855.951409,     13996.763275,        -1.418610,     -5389.415352,     13690.441128,        -0.393663,      7514.011090,     17726.160130,         0.423894,     -5880.097611,     41525.950836,        -0.141601,     -2946.652082,     19239.698117,        -0.153155,     -3808.375845,     20943.323824,        -0.181842,     -7621.391321,      1462.946691,        -5.209617,      3334.722589,      8268.598961,     -4933.876372,        -0.662769,         0.739421,         0.366472,         0.000417
    3, 11825, 1710945.329, 7046122.806,    117170.237648,     53652.073923,         2.183890,     19342.761364,     13560.406665,         1.426415,     -4409.866135,      8636.608843,        -0.510602,    -23177.840607,     13671.752372,        -1.695309,    -21467.642136,     11300.196683,        -1.899758,      5382.418743,     11017.994277,         0.488512,    -30635.589185,     13686.798983,        -2.238331,     33098.158796,     34641.567386,         0.955446,      9797.521526,     16354.373298,         0.599077,     42488.188578,     15693.330286,         2.707404,     -7642.241481,      1190.174471,        -6.421110,      2877.229808,      6618.789838,     -3741.560030,        -0.511226,         0.688448,         0.387659,         0.000271
    4, 12281, 2026476.101, 7615544.64,     12231.003418,     59570.671293,         0.205319,      7389.582534,      6292.292156,         1.174386,    -15493.842322,     12099.566612,        -1.280529,     15290.582145,     16694.106143,         0.915927,     -1497.659260,     11967.200756,        -0.125147,      8713.819287,     13105.303725,         0.664908,      4413.191196,     12902.364137,         0.342045,     35154.287435,     32581.390248,         1.078968,    -10245.048346,     19526.982220,        -0.524661,      9128.166009,     19041.503880,         0.479383,     -7065.658180,      1909.800533,        -3.699684,      1373.891322,     -2653.120063,      4027.011385,         0.549278,         0.741453,         0.385537,         0.000311
    5, 4270, 1719443.605, 7145493.911,    -11336.290031,     53655.433333,        -0.211279,     26618.839370,      9570.234631,         2.781420,    -18861.984780,      7624.743652,        -2.473786,     10083.425203,     15081.371593,         0.668601,      -135.655303,     10206.435065,        -0.013291,     22602.581579,     11854.523768,         1.906663,     -1016.815082,     19849.494388,        -0.051226,     26118.838737,     38280.416455,         0.682303,      3420.941422,     18439.159091,         0.185526,     19979.925964,     13360.047193,         1.495498,     -5019.355748,      1476.251474,        -3.400068,      2715.880297,      2893.952410,      -178.072113,        -0.023802,         0.686562,         0.360155,         0.000001
    6, 12127, 2042913.601, 7681320.018,    -55766.249727,     91194.119536,        -0.611511,     -3974.973752,     10870.218574,        -0.365676,    -24957.826625,     18205.515674,        -1.370894,     19993.877335,     23932.900826,         0.835414,     19353.536717,     17129.591009,         1.129831,     10035.280381,     16917.718780,         0.593182,     -4997.656319,     17224.955866,        -0.290140,     -2207.921951,     39819.382642,        -0.055448,    -17021.605657,     23822.956375,        -0.714504,    -19039.923548,     22948.655021,        -0.829675,     -1155.237690,      2867.245493,        -0.402909,     21847.369940,     17553.439376,      4293.930564,         0.655061,         0.310422,         0.508798,         0.000729
    7, 11432, 2073091.133, 7437604.461,     -4372.635575,     71280.598277,        -0.061344,     27195.587049,     10013.602555,         2.715864,     -5313.703078,     23155.991063,        -0.229474,    -11275.509452,     16750.766927,        -0.673134,      5272.231542,     14976.630833,         0.352031,      4851.711751,     14857.213177,         0.326556,     -9551.042175,     14385.038786,        -0.663957,     23204.353081,     34278.069365,         0.676945,     19159.281556,     15458.091458,         1.239434,    -32997.900842,     22123.733326,        -1.491516,     -3860.441609,      3144.135694,        -1.227823,      2236.409008,      -501.778108,      2738.187116,         0.435312,         0.701526,         0.547687,         0.000376
    8, 13730, 1667939.132, 7568103.699,    -21868.773485,     74506.008539,        -0.293517,     41893.586159,     21532.566704,         1.945592,     13479.765508,     14922.739115,         0.903304,      -884.879471,     17549.645372,        -0.050422,       -41.167490,     13973.438656,        -0.002946,      2473.687732,     14634.805539,         0.169028,      3590.828228,     18366.531651,         0.195509,       561.748360,     35051.186700,         0.016027,     12246.222295,     18907.822684,         0.647680,       758.152720,     27393.846534,         0.027676,     -6589.991137,      1675.218840,        -3.933809,      1018.128372,     -1058.442332,      2076.570704,         0.339199,         0.738955,         0.571553,         0.000252
    9, 15185, 1479476.005, 7812163.627,    137685.332317,     82000.399093,         1.679081,     47770.071625,     18407.482094,         2.595144,    -52581.892428,     11021.274641,        -4.770945,    -38946.933143,     21250.697111,        -1.832737,    -12937.316191,     17444.487573,        -0.741628,     29498.654740,     15671.985266,         1.882254,   -109182.861150,     19890.546676,        -5.489184,     16873.531732,     55430.123584,         0.304411,     33591.728457,     24192.123441,         1.388540,    -11826.778256,     22073.321792,        -0.535795,     -4582.238834,      1262.840193,        -3.628518,      1024.925324,     15221.497811,    -14196.572487,        -2.174985,         0.694307,         0.512956,         0.008175
